,name,height,weight,spike,block,position
132,Melis Yilmaz,165,52,260,259,libero
133,Cansu Ozbay,182,75,285,284,setter
134,Ayca Aykac,176,54,280,279,libero
135,Rida Erlalelitepe,183,70,293,290,wing
136,Ada Germen,182,62,285,283,wing
137,Zehra Gunes,194,82,309,255,middle
138,Humay Topaloglu,180,63,295,293,wing
139,Yagmur Mislina Kilic,189,66,283,280,wing
140,Cemre Janset Erkul,184,65,298,295,middle
141,Arelya Karasoy,181,73,287,280,setter
142,Su Zent,184,70,305,303,middle
